430.00,192.00
427.00,191.00
422.00,190.00
418.00,188.00
413.00,187.00
407.00,184.00
401.00,183.00
393.00,182.00
386.00,180.00
381.00,179.00
379.00,179.00
375.00,179.00
371.00,179.00
366.00,179.00
363.00,179.00
359.00,179.00
353.00,180.00
347.00,183.00
340.00,185.00
334.00,188.00
327.00,191.00
320.00,195.00
315.00,199.00
310.00,202.00
305.00,205.00
302.00,207.00
299.00,210.00
295.00,212.00
293.00,214.00
291.00,216.00
289.00,217.00
287.00,219.00
285.00,220.00
284.00,222.00
282.00,225.00
281.00,229.00
280.00,233.00
279.00,236.00
278.00,239.00
277.00,242.00
277.00,245.00
276.00,251.00
275.00,255.00
275.00,260.00
275.00,264.00
275.00,269.00
275.00,273.00
275.00,278.00
275.00,282.00
276.00,290.00
278.00,296.00
279.00,301.00
281.00,307.00
284.00,315.00
287.00,322.00
291.00,330.00
294.00,337.00
296.00,344.00
299.00,349.00
301.00,355.00
304.00,361.00
308.00,368.00
312.00,375.00
316.00,380.00
320.00,387.00
325.00,392.00
329.00,396.00
334.00,399.00
338.00,402.00
343.00,404.00
349.00,407.00
354.00,409.00
360.00,410.00
365.00,412.00
370.00,413.00
374.00,414.00
377.00,414.00
381.00,414.00
385.00,414.00
388.00,414.00
392.00,413.00
395.00,412.00
399.00,409.00
404.00,406.00
411.00,402.00
418.00,398.00
424.00,394.00
431.00,388.00
438.00,384.00
445.00,378.00
452.00,374.00
458.00,370.00
461.00,367.00
463.00,363.00
465.00,361.00
467.00,359.00
469.00,357.00
470.00,354.00
472.00,351.00
476.00,348.00
479.00,343.00
483.00,338.00
485.00,333.00
489.00,329.00
491.00,324.00
494.00,319.00
496.00,314.00
497.00,310.00
498.00,306.00
499.00,302.00
501.00,299.00
502.00,296.00
502.00,294.00
502.00,289.00
502.00,282.00
502.00,278.00
502.00,272.00
502.00,267.00
502.00,264.00
502.00,262.00
501.00,258.00
499.00,257.00
498.00,255.00
497.00,252.00
496.00,250.00
494.00,248.00
493.00,246.00
492.00,245.00
491.00,243.00
490.00,242.00
489.00,241.00
488.00,239.00
487.00,238.00
486.00,236.00
485.00,235.00
484.00,234.00
482.00,233.00
481.00,231.00
480.00,230.00
479.00,228.00
478.00,227.00
476.00,225.00
475.00,224.00
473.00,222.00
471.00,221.00
469.00,219.00
467.00,218.00
465.00,217.00
464.00,216.00
463.00,215.00
462.00,214.00
461.00,213.00
460.00,212.00
458.00,211.00
457.00,210.00
455.00,209.00
454.00,208.00
452.00,207.00
451.00,206.00
449.00,205.00
448.00,204.00
446.00,203.00
444.00,202.00
443.00,201.00
442.00,200.00
440.00,199.00
439.00,199.00
437.00,198.00
436.00,197.00
435.00,196.00
434.00,196.00
433.00,195.00
